method,scenario,metric,direction,mean_stress_minus_baseline,bootstrap_ci95_low,bootstrap_ci95_high,paired_runs,bootstrap_resamples
additive_cij_louvain_matched_density,time_noise_15min,retained_edge_fraction,descriptive,0.00010630327189404248,2.6356460923629623e-05,0.0001787452273412264,40,5000
additive_cij_louvain_matched_density,time_noise_15min,mean_degree,descriptive,0.0353970136710056,0.009044932761759432,0.06081146349885865,40,5000
additive_cij_louvain_matched_density,time_noise_60min,ari_original,higher,-0.18987344117344476,-0.21484322777184647,-0.16588605059875117,40,5000
additive_cij_louvain_matched_density,time_noise_60min,pair_f1_original,higher,-0.17449823810049792,-0.19738871998494303,-0.15142747548397079,40,5000
additive_cij_louvain_matched_density,time_noise_60min,ari_all,higher,-0.18987344117344476,-0.21439114791613187,-0.16484365275153678,40,5000
additive_cij_louvain_matched_density,time_noise_60min,pair_f1_all,higher,-0.17449823810049792,-0.1975885356091843,-0.15246928497653095,40,5000
additive_cij_louvain_matched_density,time_noise_60min,fake_absorption_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,time_noise_60min,fake_rejection_rate_all,descriptive,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,time_noise_60min,genuine_rejection_rate_all,lower,0.0,0.0,0.0,40,5000
additive_cij_louvain_matched_density,time_noise_60min,false_destination_rate_all,lower,3.9137650597596414,3.2082456783090474,4.630449632120973,40,5000
additive_cij_louvain_matched_density,time_noise_60min,retained_edge_fraction,descriptive,0.0001204465879296064,-1.2291997170238048e-05,0.00025428848563507255,40,5000
additive_cij_louvain_matched_density,time_noise_60min,mean_degree,descriptive,0.037896129469458376,-0.0065291825128088255,0.08127098274957296,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,ari_original,higher,0.020939398655056337,0.006012242598784465,0.03522363821384188,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,pair_f1_original,higher,0.019021048189733707,0.0052428277848892,0.03201099496898341,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,ari_all,higher,0.023079292801131614,0.008104920992891113,0.03763613914789438,40,5000
additive_cij_louvain_matched_density,exact_transport_copy_2x,pair_f1_all,higher,0.02116153034326035,0.0072501414916816154,0.034314753055541075,40,5000
