ari_all,ari_original,contaminated_destinations_all,contaminated_destinations_original,fake_absorption_rate_all,fake_absorption_rate_original,fake_only_destinations_all,fake_only_destinations_original,fake_rejection_rate_all,fake_rejection_rate_original,false_destination_rate_all,false_destination_rate_original,genuine_rejection_rate_all,genuine_rejection_rate_original,mean_degree,method,n_clusters_all,n_clusters_original,n_edges,n_evaluated_reports,n_original_reports,n_unassigned_all,n_unassigned_original,nmi_all,nmi_original,pair_f1_all,pair_f1_original,retained_edge_fraction,run_id,runtime_seconds,scenario,seed,threshold
0.34044874415172416,0.2891453703140963,0,0,0.0,0.0,18,18,0.0,0.0,20.0,20.0,0.0,0.0,10.177358490566037,product_cij_louvain,90,90,8091.0,1590,318,0,0,0.7625419241532813,0.7625419241532813,0.3575542755870625,0.30455635491606714,0.0064048826246482305,run_041,0.3311147009999331,exact_transport_copy_5x,41,0.3059673281610682
0.33734600455989827,0.28562063396606807,0,0,0.0,0.0,18,18,0.0,0.0,20.0,20.0,0.0,0.0,10.163522012578616,additive_cij_louvain,90,90,8080.0,1590,318,0,0,0.7622865888108787,0.7622865888108787,0.35430095576794846,0.3008423586040915,0.006396174960716562,run_041,0.3300473630001761,exact_transport_copy_5x,41,1.5600902985571496
0.3474545208467854,0.2971261613459836,0,0,0.0,0.0,18,18,0.0,0.0,20.454545454545453,20.454545454545453,0.0,0.0,10.240251572327043,additive_cij_louvain_matched_density,88,88,8141.0,1590,318,0,0,0.7636876679106627,0.7636876679106627,0.3649282156460592,0.31299524564183834,0.006444462915246724,run_041,0.34732261699991795,exact_transport_copy_5x,41,0.7502416993434349
0.34044874415172416,0.2891453703140963,0,0,0.0,0.0,18,18,0.0,0.0,20.0,20.0,0.0,0.0,10.177358490566037,product_cij_leiden,90,90,8091.0,1590,318,0,0,0.7625419241532814,0.7625419241532814,0.3575542755870625,0.30455635491606714,0.0064048826246482305,run_041,0.29311671400000705,exact_transport_copy_5x,41,0.3059673281610682
0.6838406212970212,0.673897305575186,0,0,0.0,0.0,3,3,0.0,0.0,21.428571428571427,21.428571428571427,0.0,0.0,,geo_time_dbscan,14,14,,1590,318,0,0,0.9024048249284098,0.9024048249284098,0.7104461976626183,0.7003218702354734,,run_041,0.039262619000055565,exact_transport_copy_5x,41,1.0
0.8183026521782093,0.8183026521782093,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.949685534591195,product_cij_louvain,17,17,1582.0,318,318,0,0,0.9459241588466424,0.9459241588466424,0.8311742582532387,0.8311742582532387,0.03138702061385235,run_041,0.05703278100008902,gps_noise_100m,41,0.2484473163350464
0.8183026521782093,0.8183026521782093,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.534591194968554,additive_cij_louvain,17,17,1516.0,318,318,0,0,0.9459241588466424,0.9459241588466424,0.8311742582532387,0.8311742582532387,0.03007757474753487,run_041,0.055213260000073205,gps_noise_100m,41,1.51005323541309
0.8183026521782093,0.8183026521782093,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.968553459119496,additive_cij_louvain_matched_density,17,17,1585.0,318,318,0,0,0.9459241588466425,0.9459241588466425,0.8311742582532387,0.8311742582532387,0.031446540880503145,run_041,0.07335635900017223,gps_noise_100m,41,0.7383929583795349
0.8183026521782093,0.8183026521782093,0,0,0.0,0.0,3,3,0.0,0.0,17.647058823529413,17.647058823529413,0.0,0.0,9.949685534591195,product_cij_leiden,17,17,1582.0,318,318,0,0,0.9459241588466424,0.9459241588466424,0.8311742582532387,0.8311742582532387,0.03138702061385235,run_041,0.04386774700014939,gps_noise_100m,41,0.2484473163350464
0.673897305575186,0.673897305575186,0,0,0.0,0.0,3,3,0.0,0.0,21.428571428571427,21.428571428571427,0.0,0.0,,geo_time_dbscan,14,14,,318,318,0,0,0.9024048249284098,0.9024048249284098,0.7003218702354734,0.7003218702354734,,run_041,0.005324233999999706,gps_noise_100m,41,1.0
